108,1,900849,SKI-TK. APEP (HAJI),"PS. CIKALONG BLOK C NO.9 CJR,",CIANJUR,43282,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",203
109,1,900852,SKI-TK. DOA IBU LAMA,"JL. CISAAT 4/3 CITARIK, SUKABU",SUKABUMI,43152,SKI-RXPD01,EXP DALAM KOTA SUKABUM,302
110,1,900854,SKI-TK. DAMAI,JL.CIEMAS SP TK.RAJIO SUKABUMI,KAB. SUKABUMI,43177,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
111,1,900859,SKI-TK. MAKMUR,"PS. PANGRANGO CIPANAS, CIANJUR",CIANJUR,43253,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",203
112,1,900860,SKI-TK. SUMBER REJEKI,SAMPING PS. CIBADAK SUKABUMI,KAB. SUKABUMI,43351,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",202
113,1,900863,SKI-TK. YETI,"JL. CISAAT 4/3 CITARIK, SUKABU",KAB. SUKABUMI,43152,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
114,1,900866,SKI TK. WAWAN,"JL. CIUJUNG RT.5/1 CIDAUN CJR,",CIANJUR,43275,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
115,1,900873,SKI-TK. GOTONG ROYONG,BHAYANGKARA GOTONGROYONG SUKAB,SUKABUMI,43151,SKI-Z1CP01,SUKABUMI KOTA,200
116,1,900876,SKI-TK. YATI,"TERMINAL SAGARANTEN SMI, SUKAB",SUKABUMI,43181,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",210
117,1,900879,SKI-TK. ARYA,"JL. SAGARANTEN BAROS 24 SMI, S",SUKABUMI,43181,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",210
118,1,900880,SKI-TK. LIANA,"BLOK J 16 PS. PEL RATU, SUKABU",SUKABUMI,43364,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",205
119,1,900881,SKI-TK. CAHAYA,JL. H. KABIR 55 SUKABUMI,SUKABUMI,43131,SKI-Z1CP01,SUKABUMI KOTA,200
120,1,900890,SKI-TK. BATUBARA II,JL. PS. PARUNG KUDA NO.6 CBDK,SUKABUMI,43351,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",202
121,1,900891,SKI-TK. OOM,"JL.KALIBUNDER RT.1/2 SUKABUMI,",SUKABUMI,43185,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",210
122,1,900892,SKI-TK. SERASI,JL. CIGARU KERTAJAYA 2/2 PELTU,KAB. SUKABUMI,43364,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
123,1,900895,SKI-TK. MURNI,"JL. RY. UJUNG GENTENG SURADE,",SUKABUMI,43179,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",210
